Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2008-01-02,5.837992191314697,6.000392214316139,5.769377731541099,5.970728957004811,1079178800
2008-01-03,5.840689182281494,5.9143982684071785,5.773572108753796,5.855071755222555,842066400
2008-01-04,5.394837856292725,5.782858775042965,5.360081181922495,5.736416263550364,1455832000
2008-01-07,5.322629928588867,5.5012095759213375,5.100603717370573,5.43079608271515,2072193200
2008-01-08,5.131165504455566,5.467051347442267,5.117682240834647,5.397536370396436,1523816000
2008-01-09,5.375362873077393,5.378358841862148,5.0427731333898285,5.1326621981635965,1813882000
2008-01-10,5.334013938903809,5.4233037325160955,5.255810710300806,5.320830315698779,1482975200
2008-01-11,5.17431116104126,5.328920599538899,5.093710835973855,5.273488573678177,1232285600
2008-01-14,5.356785774230957,5.375961734626663,5.2486188598146235,5.319032327106504,1100450400
2008-01-15,5.064945697784424,5.369968410125731,4.9337071577899065,5.32502448282605,2343278000
2008-01-16,4.7832932472229,5.064045762300334,4.695202017486915,4.950785838382171,2213845200
2008-01-17,4.820747375488281,4.954682272361607,4.74673905982211,4.839324863693049,1757859600
2008-01-18,4.8348307609558105,4.966368574843155,4.782395497571417,4.845317653612964,1724343600
2008-01-22,4.6634392738342285,4.793478826057657,4.374596640905266,4.436320212664709,2434754000
2008-01-23,4.16695499420166,4.194820424717301,3.779533298682108,4.080661570610571,3372969600
2008-01-24,4.062983512878418,4.215795145037582,3.9554166565828734,4.1945213233000125,2005866800
2008-01-25,3.895491600036621,4.1675560074516165,3.8835069195999377,4.164560037367154,1554739200
2008-01-28,3.895491600036621,3.9910738070602894,3.7888228235175996,3.8400603527575203,1474844000
2008-01-29,3.941333293914795,3.9787871055793085,3.8667261075783883,3.929648255143246,1099982800
2008-01-30,3.9605119228363037,4.058491243064042,3.8951926427174697,3.936242120615739,1243051600
2008-01-31,4.05579137802124,4.0944429256400685,3.8772118428694626,3.8787092267950376,1345674400
2008-02-01,4.007552146911621,4.092646630902128,3.960509951119567,4.082159738873887,1010744000
2008-02-04,3.9446301460266113,4.071972239982878,3.9377380966333084,4.021334799298789,899234000
2008-02-05,3.876014232635498,4.015042557613793,3.8622309348614996,3.9080745817068983,1141042000
2008-02-06,3.655487298965454,3.95272076227465,3.64859604893993,3.920060733708309,1573272400
2008-02-07,3.6327145099639893,3.7387839707003976,3.513761062773291,3.5946618243919835,2083331600
2008-02-08,3.759758472442627,3.7663500846523235,3.6435013473941726,3.6578839195956063,1355972800
2008-02-11,3.8787105083465576,3.8945912642464955,3.8112942052441174,3.8355643944004125,1201432400
2008-02-12,3.7411811351776123,3.925153391789859,3.7040265595050097,3.9161646848096416,1225980000
2008-02-13,3.877214193344116,3.888599998778644,3.764253449760572,3.795714533235768,968534000
2008-02-14,3.8190863132476807,3.9191630794389307,3.8056022470613353,3.8772146960007365,954097200
2008-02-15,3.734287977218628,3.807697403821968,3.7172094772043325,3.7834280195988943,901300400
2008-02-19,3.6608798503875732,3.7978111214419115,3.638707518574658,3.7750391157442604,1005046000
2008-02-20,3.710020065307617,3.7333909483223113,3.6458989553753294,3.6614800774509253,967439200
2008-02-21,3.64170241355896,3.7894205700808983,3.621328309311145,3.7768362232976602,938114800
2008-02-22,3.5793817043304443,3.6707685816913993,3.471814030220166,3.669870070812991,1529878000
2008-02-25,3.587770938873291,3.600654926631241,3.4954847659887913,3.553312692412041,1256774400
2008-02-26,3.570091485977173,3.6282202417526292,3.458929001635119,3.5248479163959825,1504888000
2008-02-27,3.6842520236968994,3.6869483562684517,3.5383320256054125,3.542526542966351,1475138000
2008-02-28,3.8924944400787354,3.9611096949723175,3.7684475548012,3.811294434469817,1618254400
2008-02-29,3.7459757328033447,3.901483317432705,3.739383719561141,3.873917516700378,1255480800
2008-03-03,3.647397041320801,3.774740346844522,3.5356352574996595,3.728597055893218,1593043200
2008-03-04,3.7339890003204346,3.741779558808814,3.607545443710488,3.6551865050879213,1785383600
2008-03-05,3.730093240737915,3.7495696344508143,3.6629761918316706,3.7028266895890236,1221836000
2008-03-06,3.623427391052246,3.820283675517819,3.6198313474392947,3.7336905932745252,1473698800
2008-03-07,3.662978172302246,3.684851272402974,3.5670971363734694,3.6078461665925814,1230462800
2008-03-10,3.586272716522217,3.699233448646773,3.576684333929487,3.6548883793034186,999588800
2008-03-11,3.8157899379730225,3.819685219334184,3.655488128604192,3.7184107042900334,1163943200
2008-03-12,3.7762372493743896,3.8556394320796037,3.750469274644273,3.806500577952272,1059629200
2008-03-13,3.8334667682647705,3.880208923059327,3.6854493446747956,3.718409002597688,1262102800
2008-03-14,3.7936160564422607,3.9041788627106895,3.7214043698046537,3.8915941139849015,1156640800
2008-03-17,3.7972116470336914,3.852943316559288,3.671967009289728,3.671967009289728,1072598800
2008-03-18,3.979687213897705,3.9850810802062604,3.855341053318498,3.870622141003302,1205120000
2008-03-19,3.885303258895874,4.023732334362432,3.885303258895874,3.9886760101040313,1010536800
2008-03-20,3.993170738220215,3.993769612118397,3.870621616243167,3.9287499890070725,908787600
2008-03-24,4.180737018585205,4.220288283276593,4.004255311844706,4.0153410753616186,1066920400
2008-03-25,4.224184989929199,4.287706424346418,4.114820301433442,4.193622420494166,1052391200
2008-03-26,4.346432685852051,4.366807592315399,4.2139963939141065,4.2208876416559065,1182084400
2008-03-27,4.2023115158081055,4.353924186949864,4.194520956398591,4.343137658585957,999829600
2008-03-28,4.285009384155273,4.33414823658256,4.242761780522376,4.248754518647301,714610400
2008-03-31,4.299692153930664,4.365910724869847,4.270328530651324,4.292800903595379,768065200
2008-04-01,4.480368614196777,4.484263894645478,4.3029883358942405,4.383588277190516,1032567200
2008-04-02,4.419243335723877,4.530406223066613,4.370104485320696,4.457895294889685,1044968400
2008-04-03,4.542691707611084,4.603217170317009,4.404562276443069,4.406360098111997,1051568000
2008-04-04,4.586737155914307,4.635576373650187,4.516923353790002,4.560069870098315,854417200
2008-04-07,4.670933246612549,4.784792478643787,4.647561966331968,4.6781237327692935,1158326400
2008-04-08,4.5795440673828125,4.68771096207242,4.563963752421197,4.600818682225382,1014294400
2008-04-09,4.537598133087158,4.611007594944839,4.508234508363839,4.593629449740739,873398400
2008-04-10,4.630783557891846,4.65685117530684,4.512429349936033,4.528310110030615,955763200
2008-04-11,4.408756732940674,4.593328671119626,4.386583601341065,4.575950530234715,1210076000
2008-04-14,4.4279327392578125,4.471978565882149,4.3308531786625295,4.397670610840954,845087600
2008-04-15,4.445911407470703,4.486061958273787,4.3662099798079215,4.476473175919565,698037200
2008-04-16,4.605312347412109,4.617297019168982,4.513026214373268,4.545985061827484,795774000
2008-04-17,4.628983020782471,4.674227378565251,4.594825624913729,4.619394642953371,704267200
2008-04-18,4.8252434730529785,4.861797981136943,4.745541643826514,4.767713978229202,1026765600
2008-04-21,5.038578033447266,5.048765687111688,4.846815235648881,4.860298094812159,1039152800
2008-04-22,4.800074100494385,5.033785309849245,4.736851507106412,5.015807093691918,1439572400
2008-04-23,4.880673408508301,4.939101398571027,4.82644033466581,4.915430885712446,1504190800
2008-04-24,5.061950206756592,5.093112049432231,4.769811382097959,4.954084105410961,1696066400
2008-04-25,5.085620403289795,5.12666905285468,4.98644220296742,5.114684378570116,992474000
2008-04-28,5.16082763671875,5.206071202158762,5.067642173915183,5.08621925909435,787214400
2008-04-29,5.24502420425415,5.263300854603831,5.101201295766538,5.126969268500498,923476400
2008-04-30,5.212062358856201,5.393338202751879,5.181200171836079,5.279179394616188,1139524400
2008-05-01,5.393341064453125,5.393341064453125,5.239331284599102,5.242327253816293,903576800
2008-05-02,5.421504974365234,5.450868584622896,5.349893769763288,5.399032611386844,1006082000
2008-05-05,5.535067081451416,5.5524456261339195,5.42480307379368,5.45087109084212,854557200
2008-05-06,5.592895984649658,5.606678484969793,5.458661824443594,5.5329693916229665,918870400
2008-05-07,5.470944404602051,5.639037500897765,5.409520441837574,5.574616769159083,1157133600
2008-05-08,5.544954776763916,5.588101298938722,5.485328221757468,5.5063020088990475,899085600
2008-05-09,5.4967145919799805,5.52068474944999,5.4343913024493675,5.488025519910676,673072400
2008-05-12,5.637840747833252,5.659114575432082,5.478737096429838,5.549450230436323,818563200
2008-05-13,5.6917724609375,5.7364171582978845,5.6288503129686696,5.651321880022985,823236400
2008-05-14,5.580911159515381,5.7600896853981505,5.560236606515607,5.729827148424972,916823600
2008-05-15,5.684880256652832,5.68997448379511,5.519184658128723,5.59738868570336,873208000
2008-05-16,5.6216583251953125,5.70195980886603,5.6030812386895406,5.69626630809832,765769200
2008-05-19,5.501209259033203,5.65372087923912,5.4322939547617555,5.6288518103516685,945820400
2008-05-20,5.570122241973877,5.577912000557418,5.396935730178671,5.447872398287128,969850000
2008-05-21,5.339108467102051,5.63154731139371,5.280980102541778,5.563231291162929,1157657200
2008-05-22,5.30495023727417,5.4331916430795895,5.153637187879296,5.3711687987388,1206735600
2008-05-23,5.4283976554870605,5.452967482837834,5.327422413906934,5.416412178706541,906917200
2008-05-27,5.586003303527832,5.586003303527832,5.448473552281338,5.475739712975345,789905200
2008-05-28,5.603381156921387,5.631546222938719,5.504803025811491,5.615365831765817,743979600
2008-05-29,5.593793869018555,5.639038245662366,5.558137874200954,5.595891327543039,647186400
2008-05-30,5.655518054962158,5.679189375015412,5.614468991220387,5.616566449959283,610184400
2008-06-02,5.576114177703857,5.682482051713272,5.529071595552361,5.651020984734735,679840000
2008-06-03,5.5542426109313965,5.639038262766912,5.4634550205349415,5.598887313797179,750520400
2008-06-04,5.548847675323486,5.605777473246768,5.49012045645767,5.513790966083497,726983600
